clause_id,app_name,source_document,clause_text,best_match_taxonomy_id,dpdp_category,matched_act,verdict,verdict_score,justification,label_status,label_needs_review,cache_key,run_id,model
S000043,Google,Google Cloud Terms of Service,"(i) With respect to GCP Services and their corresponding TSS, unless otherwise noted by Google, material updates to this Agreement will become effective 30 days after they are posted. Notwithstanding the preceding sentence, to the extent any updates apply to new functionality or are required to comply with applicable law, they will be effective immediately. If Customer does not agree to any update to the Agreement regarding GCP or its TSS, Customer may stop using the GCP Services or TSS. Customer may also terminate this Agreement for convenience under Section 8.5 (Termination for Convenience). Customer's continued use of the GCP Services or TSS after a material update will constitute Customer's consent to such update.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses terms of service updates and customer consent to such updates, but does not address the statutory requirements related to consent management, withdrawal of consent, or the cessation of processing upon withdrawal. It does not provide functionality for users to manage or withdraw",NEW_SUCCESS,False,fa23420c4fec953b03b91b7c2c76b71b1d531b22b27e84c20d96f13a13c04ea4,run-c6bf936e43df-5d0fde37,qwen3:8b
S000072,Google,Google Cloud Terms of Service,"3.2 Privacy. Customer is responsible for any consents and notices required to permit (a) Customer's use and receipt of the Services and (b) Google's accessing, storing, and processing of data provided by Customer (including Customer Data, if applicable) under this Agreement.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses the responsibility of the Customer for consents and notices but does not provide functionality for users to give, manage, review, or withdraw consent, nor does it address the right to withdraw consent or the consequences thereof. It also does not mention the",NEW_SUCCESS,False,96b907cdd0fd8e972b25eb044949dd6cdb461caceae7e19aac9b818097fcf7aa,run-c6bf936e43df-5d0fde37,qwen3:8b
S000080,Google,Google Cloud Terms of Service,(b) Administration of GWS Services and Cloud Identity Services. Customer may specify through the Admin Console one or more Administrators who will have the right to access Admin Accounts. Customer is responsible for (i) maintaining the confidentiality and security of the End User Accounts and associated passwords and (ii) any use of the End User Accounts. Customer agrees that Google’s responsibilities do not extend to the internal management or administration of the GWS Services or Cloud Identity Services for Customer or any End Users.,NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses the administration of GWS Services and Cloud Identity Services, focusing on the responsibilities of the Customer and Google's limited responsibilities. It does not address any of the statutory requirements related to data principal rights, security safeguards, or contractual provisions for data protection",NEW_SUCCESS,False,6f47d85b2be676ea48b97492850b23031cf0c8108a64bdb801a3050e2835cdc7,run-c6bf936e43df-5d0fde37,qwen3:8b
S000112,Google,Google Cloud Terms of Service,"9. Publicity. Neither party may use the other party’s Brand Features or issue, publish, or present a press release, blog post, speech, social media post, or investor relations call or announcement discussing Customer’s use of the Services or this Agreement without the written consent of the other party, except as expressly permitted in this Agreement. Subject to the preceding sentence, Customer may state publicly that it is a Google Cloud customer and display Brand Features in accordance with the Branding Guidelines. Google may use Customer's name and Brand Features in online or offline promotional materials of the Services. Any use of a party’s Brand Features will inure to the benefit of the party holding Intellectual Property Rights to those Brand Features.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses publicity and branding rights but does not address consent withdrawal, data principal rights, security safeguards, or any other subject matter covered by the candidate statutory rules.",NEW_SUCCESS,False,7563c700a6dcf87cd9995aae2eb6633f342f0fa01390440f2382e371da1e0528,run-c6bf936e43df-5d0fde37,qwen3:8b
S000130,Google,Google Cloud Terms of Service,"(b) Any indemnified party must tender sole control of the indemnified portion of the Third-Party Legal Proceeding to the indemnifying party, subject to the following: (i) the indemnified party may appoint its own non-controlling counsel, at its own expense; and (ii) any settlement requiring the indemnified party to admit liability, pay money, or take (or refrain from taking) any action, will require the indemnified party's prior written consent, not to be unreasonably withheld, conditioned, or delayed.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses indemnification and legal proceedings, which does not relate to any of the statutory requirements under the DPDP Act 2023 or DPDP Rules 2025 regarding consent, withdrawal of consent, or data principal rights.",NEW_SUCCESS,False,85e23c120fd9a645978fe0309bbbc365133ab190bb7eb1170ac926cdbea22daf,run-c6bf936e43df-5d0fde37,qwen3:8b
S000137,Google,Google Cloud Terms of Service,14.2 Emails. The parties may use emails to satisfy written approval and consent requirements under this Agreement.,NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses the use of emails for written approval and consent under an agreement but does not specifically address the statutory requirements related to consent withdrawal, management, or the rights of data principals under the DPDP Act 2023 or DPDP Rules 2025.",NEW_SUCCESS,False,df73166767891b4993f64f412d843633a5ed568a9ebd693229ade6f0510b394a,run-c6bf936e43df-5d0fde37,qwen3:8b
S000138,Google,Google Cloud Terms of Service,"14.3 Assignment. Neither party may assign any part of this Agreement without the written consent of the other, except to an Affiliate where (a) the assignee has agreed in writing to be bound by the terms of this Agreement, and (b) the assigning party has notified the other party of the assignment. Any other attempt to assign is void. If Customer assigns this Agreement to an Affiliate in another jurisdiction such that there is a change in the Google contracting entity as defined at https://cloud.google.com/terms/google-entity this Agreement is automatically assigned to the new Google contracting entity.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses assignment of agreements and does not address any of the statutory requirements related to consent, notice, or cross-border data transfers. It does not provide mechanisms for withdrawal of consent, access to consent records, or mention of higher protections for data transfers outside",NEW_SUCCESS,False,12a21684c5dd9c1f23a15ad1ecb3c0ecf8d78ae63bbf3c8c1a464ad3fd97ac2f,run-c6bf936e43df-5d0fde37,qwen3:8b
S000149,Google,Google Cloud Terms of Service,"(b) For U.S. Federal Government Entities. If Customer is a U.S. federal government entity, then the following applies: ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE SERVICES WILL BE GOVERNED BY THE LAWS OF THE UNITED STATES OF AMERICA, EXCLUDING ITS CONFLICT OF LAWS RULES. SOLELY TO THE EXTENT PERMITTED BY FEDERAL LAW, (I) THE LAWS OF THE STATE OF CALIFORNIA (EXCLUDING CALIFORNIA'S CONFLICT OF LAWS RULES) WILL APPLY IN THE ABSENCE OF APPLICABLE FEDERAL LAW; AND (II) FOR ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE SERVICES, THE PARTIES CONSENT TO PERSONAL JURISDICTION IN, AND THE EXCLUSIVE VENUE OF, THE COURTS IN SANTA CLARA COUNTY, CALIFORNIA.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses jurisdiction and governing laws for U.S. federal government entities but does not address any of the statutory requirements related to consent, notice, cross-border data transfers, or data principal rights under the DPDP Act 2023 or DPDP Rules 2025.",NEW_SUCCESS,False,987990d20b6af4ae198ac772dfd515dbbb6dcf24f68d0235939977ee3f0240b8,run-c6bf936e43df-5d0fde37,qwen3:8b
S000150,Google,Google Cloud Terms of Service,"(c) For All Other Entities. If Customer is any entity not identified in Section 14.12(a) (U.S. Governing Law for U.S. City, County, and State Government Entities) or (b) (U.S. Governing Law for Federal Government Entities), then the following applies: ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE SERVICES WILL BE GOVERNED BY CALIFORNIA LAW, EXCLUDING THAT STATE'S CONFLICT OF LAWS RULES, AND WILL BE LITIGATED EXCLUSIVELY IN THE FEDERAL OR STATE COURTS OF SANTA CLARA COUNTY, CALIFORNIA, USA; THE PARTIES CONSENT TO PERSONAL JURISDICTION IN THOSE COURTS.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses jurisdiction and governing law for disputes, which does not relate to any of the statutory requirements under the DPDP Act 2023 or DPDP Rules 2025, particularly those concerning consent, notice, or cross-border data transfers.",NEW_SUCCESS,False,861a2be42fdc649a32ee8dbb5a137f822daec9748501af43aa33e95bb84eb89a,run-c6bf936e43df-5d0fde37,qwen3:8b
S000194,Google,Google Cloud Terms of Service,"""Legal Process"" means an information disclosure request made under law, governmental regulation, court order, subpoena, warrant, or other valid legal authority, legal procedure, or similar process.",NONE,Not Applicable,None,Not Addressed,0.0,"The clause discusses 'Legal Process' but does not specifically address any of the statutory requirements related to intermediary/platform liability, data fiduciary obligations, or user rights under the DPDP Act 2023 or IT Act 2000. It is a general definition and does not fulfill the checkable",NEW_SUCCESS,False,21c65564389b386de5c3913f57d8ab507534a447ffcab77907b00eeb43c52f81,run-c6bf936e43df-5d0fde37,qwen3:8b
