clause_id,app_name,source_document,source_file,source_path,page_start,page_end,section_heading,clause_index_in_document,clause_text,extraction_method,extraction_quality,retrieved_at,file_sha256
S000001,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,1,For all Services that are subject to the Cloud Acceptable Use Policy:,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000002,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,2,"Use of the Services is subject to this acceptable use policy (""AUP"").",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000003,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,3,"If not defined here, capitalized terms have the meaning stated in the applicable contract (""Agreement"") between the customer, reseller or other authorized user (""You"") and Google.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000004,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,4,You must not use the Services – and You must not allow any third parties or End Users to use the Services – for any of the following:,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000005,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,5,"to violate, or encourage the violation of, the legal rights of others;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000006,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,6,"to engage in, promote, or encourage illegal activity, including child sexual exploitation, child abuse, or terrorism or violence that can cause death, serious harm, or injury to individuals or groups of individuals;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000007,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,7,"for any unlawful, invasive, infringing, defamatory, or fraudulent purpose including Non-consensual Explicit Imagery (NCEI), violating intellectual property rights of others, phishing, or creating a pyramid scheme;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000008,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,8,"to distribute viruses, worms, Trojan horses, corrupted files, hoaxes or other items of a destructive or deceptive nature;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000009,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,9,"to gain unauthorized access to, disrupt, or impair the use of the Services, or the equipment used to provide the Services, by customers, authorized resellers, or other authorized users;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000010,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,10,"to alter, disable, interfere with or circumvent any aspect of the Services, Software, or the equipment used to provide the Services;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000011,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,11,"to generate, distribute, publish or facilitate unsolicited mass email, promotions, advertisements, or other solicitations (""spam"");",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
