clause_id,app_name,source_document,clause_text,best_match_taxonomy_id,dpdp_category,matched_act,verdict,verdict_score,justification,label_status,label_needs_review,cache_key,run_id,model
S000790,Meta,MetaPrivacyPolicy,"To provide measurement, analytics and business services Lots of people rely on our Products to run or promote their businesses or share content.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses the purpose of data processing (measurement, analytics, business services) but does not address any of the specific statutory requirements related to consent, data principal rights, children/vulnerable groups, confidentiality, or grievance redressal. It lacks actionable mechanisms, timelines, or specific statutory references.",NEW_SUCCESS,False,08cbd17cd23f642bfb5104f2e3a3d2f12dc3eb6a089e608b537acdb0233a9a95,run-c6bf936e43df-5d0fde37,qwen3:8b
S000843,Meta,MetaPrivacyPolicy,"Provide our features that are part of that do things such as create and understand content (e.g. text, audio, images and videos) and perform actions",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses general features and functionalities of the platform without addressing any specific statutory requirements related to data principal rights, security safeguards, breach notification, or other regulated subject matters under the DPDP Act 2023 and IT Act 2000.",NEW_SUCCESS,False,5ab1328b25a454c7252c28efc85286682e0ab0c98d477bb7c3ba980bd69df37e,run-c6bf936e43df-5d0fde37,qwen3:8b
S000285,Google,Google Privacy Policy,"Google also collects and uses data that is not associated with your account. For example, when you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This allows us to do things like maintain your preferences across browsing sessions, such as your preferred language or whether to show you more relevant search results or ads based on your activity.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses data collection and usage in the context of non-signed-in sessions but does not address any of the specific statutory requirements related to consent withdrawal, government access blocking, penalties, security safeguards, or intermediary liability under the DPDP Act 2023 or IT Act 2000.",NEW_SUCCESS,False,3e03a1ffdf426488550ea9393337e2e86b12f5986bf0b929c6ad890f7502704a,run-c6bf936e43df-5d0fde37,qwen3:8b
S001823,WhatsApp,WhatsApp Business Data Processing Terms,"f. Taking into account the nature of the Processing and the information available to WhatsApp, WhatsApp will assist you in your role as a Controller, by appropriate technical and organisational measures, insofar as this is possible, in fulfilling any obligations under Data Privacy Law applicable to you as a",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses WhatsApp's assistance in fulfilling obligations under Data Privacy Law but does not specifically address any of the candidate rules related to security safeguards, consent withdrawal, or penalties for breaches. It lacks specificity and actionable mechanisms required by the statutory tests.",NEW_SUCCESS,False,3e29acc9d14b29cbc23e200d055ff988be9a93333cf3511420b7e55d04a64870,run-c6bf936e43df-5d0fde37,qwen3:8b
S002425,Youtube,Google Ads policies,"Our child and teen ads policies, along with other Google Ads policies (including but not limited to those for alcohol, gambling and high fat, sugar and salt food and beverages), work together to provide strong protections that include: We require all our advertisers to follow local legal requirements when using our products, including any regulations on advertising to users under age 18, as well as all Google Ads policies. Learn more about our Ad protections for children and teens and relevant ad policies, where they apply, and what they mean for advertisers.",DPDP_RUL-0227,Children/Vulnerable Groups,DPDP_RULES_2025,Partially Compliant,0.5,"The clause mentions restrictions on advertising to users under age 18, which aligns with the requirement to restrict access to harmful content for children. However, it does not explicitly state that such content is not accessible to children, nor does it provide specific mechanisms or",NEW_SUCCESS,False,e2ad936bf2e33b27ad4649222fc9490dc56d62449c28ae85a8ce035f98d6f010,run-c6bf936e43df-5d0fde37,qwen3:8b
S001610,Telegram,Telegram Privacy Policy,The Privacy Policy was updated to describe geographic limitations and other advertising tools that may affect the ways how ads are displayed.,NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses updates to the Privacy Policy regarding geographic limitations and advertising tools, but does not address any of the statutory requirements related to consent withdrawal, ease of withdrawal, cessation of processing, or Consent Manager functionality as specified in the candidate rules.",NEW_SUCCESS,False,797b65ddd17b2a95924de488c88806ea7d250d3dce3028a273eef4a3486a1ed9,run-c6bf936e43df-5d0fde37,qwen3:8b
S000829,Meta,MetaPrivacyPolicy,"Make suggestions for you (such as people that you may know, groups or events that you may be interested in or topics that you may want to follow) on and off our",NONE,Not Applicable,,Not Addressed,0.0,The clause discusses personalization features and recommendations without addressing any of the statutory requirements related to breach notification or conflict of interest in data handling.,NEW_SUCCESS,False,ee1ab063931fb78e8eb1d068e2a4fba35bcf715955be2ed45f0cc7d3dc276cbf,run-c6bf936e43df-5d0fde37,qwen3:8b
S000652,Meta,Meta_Cookies_Policy,"For example, other companies' cookies help tailor ads off Meta Products, measure their performance and effectiveness and support marketing and analytics. Certain features on the Meta Products use cookies from other companies to function, for example, certain maps, payment and security features. about the companies that use cookies on the Meta Products.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses cookies used by third parties for advertising, performance measurement, and functionality, but does not address security safeguards, access control, logging, or retention of logs as required by the candidate rules.",NEW_SUCCESS,False,962ec57a7fabebb22de02da752f029621e684f2adf69ba4f3b5b2fcd12c1a885,run-c6bf936e43df-5d0fde37,qwen3:8b
S000816,Meta,MetaPrivacyPolicy,Highlights Why is information transferred to other countries? Where is information transferred? How do we safeguard your information?,NONE,Not Applicable,,Not Addressed,0.0,The clause does not specifically address any of the statutory requirements related to cross-border data transfers or security safeguards. It only raises general questions about data transfer and safeguarding without fulfilling the checkable tests for any of the candidate rules.,NEW_SUCCESS,False,6ce6375d377e2d9276ec68614ef844383ff6997075eb31a6e45a5f4f1a696b04,run-c6bf936e43df-5d0fde37,qwen3:8b
S000493,Google,Google_Terms_of_Service,"If we reasonably believe that any of your content (1) breaches these terms, service-specific additional terms, or policies, (2) violates applicable law, or (3) could harm our users, third parties, or Google, then we reserve the right to take down some or all of that content in accordance with applicable law. Examples include child pornography, content that facilitates human trafficking or harassment, terrorist content, and content that infringes someone else’s intellectual property rights.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses content moderation and removal of harmful content but does not specifically address the statutory requirements related to children, breach notification, or voluntary undertakings under the DPDP Act 2023 or IT Act 2000. It does not fulfill the semantic match criteria for any",NEW_SUCCESS,False,323c84e8b8a1087fe98517a9048de00ee473b35dfe19f8374997cc9340c469f3,run-c6bf936e43df-5d0fde37,qwen3:8b
S001792,WhatsApp,WhatsApp Business App Privacy Policy,"WhatsApp Privacy Policy, and also to operate, provide, improve, understand, customize, support, and market our WhatsApp Business App and Business Functions.  Our WhatsApp Business App.",NONE,Not Applicable,,Not Addressed,0.0,"The clause does not address any of the statutory requirements related to consent, notice, or data principal rights. It is a general statement about the purpose of the WhatsApp Business App and does not provide specific mechanisms for consent management, withdrawal, or data processing cessation.",NEW_SUCCESS,False,d55c76620c4da95b45cc14b757d21d1190ef4cdafd81cfd710d40e6d9e97b729,run-c6bf936e43df-5d0fde37,qwen3:8b
S001496,Telegram,Telegram Privacy Policy,Telegram has two fundamental principles when it comes to collecting and processing private data: We don't use the contents of any of your chats or contact lists to show you ads.,NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses the non-use of chat contents for advertising purposes, which does not directly address any of the statutory requirements related to consent withdrawal, child consent, security safeguards, or consent management. It is a general statement about data usage and does not fulfill the",NEW_SUCCESS,False,fb24700ba79d68cdd51ec30c6206b795fa66dbc15203b46a44dfb5b20476b62b,run-c6bf936e43df-5d0fde37,qwen3:8b
S002225,WhatsApp,WhatsappBusinessTermsOfService,"• You must respect all requests (either on or off WhatsApp) by a person to block, discontinue, or otherwise opt out of communications from you via WhatsApp, including removing that person from your contacts list. Do not confuse, deceive, defraud, mislead, spam, or surprise people with your communications.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses respecting opt-out requests but does not specifically address the statutory requirements related to consent withdrawal, ease of withdrawal, cessation of processing, or use of a Consent Manager as outlined in the candidate rules.",NEW_SUCCESS,False,d22eb004723df7a5f2c4547fe88aaeb47321e7933f22a95d4f673e37bafe2690,run-c6bf936e43df-5d0fde37,qwen3:8b
S001225,Snapchat,Snap_Privacy Policy,"We may use age-assurance measures, including automated tools, to help determine whether users meet minimum age requirements or should receive age-appropriate protections.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses age-assurance measures for determining user age requirements but does not address any of the specified statutory requirements related to security safeguards, data fiduciary obligations, cross-border data transfers, or breach penalties. It does not meet the semantic match criteria for any of the",NEW_SUCCESS,False,f1a29aad8170d54c021c5442e95c42688e4ba25002b4ac45710f4ca236090de3,run-c6bf936e43df-5d0fde37,qwen3:8b
S000818,Meta,MetaPrivacyPolicy,"Highlights We access, preserve, use and share your information: In response to legal requests, such as search warrants, court orders, production orders or subpoenas. These requests come from such as civil litigants, law enforcement and other government authorities. about when we respond to legal requests.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses the platform's response to legal requests but does not specifically address the statutory requirements related to intermediary/platform liability, data principal rights, or procedures for compliance with government directions. It lacks actionable mechanisms, timelines, or specific statutory references required for compliance.",NEW_SUCCESS,False,f45bd0818aab1a799e090a839876b153e1601f0d046caafbaf73976e21ebf0ba,run-c6bf936e43df-5d0fde37,qwen3:8b
