clause_id,app_name,statutory_target,current_taxonomy_id,clause_text,current_justification
S000279,Google,Data Principal Rights (Access & Export),DPDP_RUL-0191,"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how you can update, manage, export, and delete your information.","The clause mentions the ability to update, manage, export, and delete information, which aligns with the requirement to provide a clear communication link for Data Principals to exercise their rights. However, it does not explicitly mention access to the website or app of the Data Fiduciary, which is a specific"
S000331,Google,Data Principal Rights (Access & Export),DPDP_RUL-0191,You can export a copy of content in your Google Account if you want to back it up or use it with a service outside of Google.,"The clause allows users to export content from their Google Account, which aligns with the requirement to enable data portability under DPDP_RUL-0191. However, it does not explicitly mention the right to access, correct, or delete personal data, which are also part of the Data Principal Rights under DPDP_RUL-0191."
S001152,Snapchat,Data Principal Rights (Access & Export),DPDP_RUL-0191,Download your data. You can make a request in our Download My Data tool to export a copy of your Snapchat information.,"The clause allows users to download their data through the 'Download My Data' tool, which aligns with the requirement to provide a clear communication link for Data Principals to exercise their rights. However, it does not explicitly mention access to the website or app of the Data Fiduciary, which is"
S001518,Telegram,Data Principal Rights (Access & Export),DPDP_RUL-0191,"Telegram is a cloud service. We store messages, photos, videos and documents from your cloud chats on our servers so that you can access your data from any of your devices anytime without having to rely on third-party backups. All data is stored heavily encrypted and the encryption keys in each case are stored in several other data centers in different jurisdictions. This way local engineers or physical intruders cannot get access to user data.","The clause mentions that data is stored in multiple data centers across different jurisdictions, which relates to cross-border data transfer requirements. However, it does not explicitly state that the organization meets the Central Government's requirements for such transfers, which is a key element of the rule."
S001585,Telegram,Data Principal Rights (Access & Export),DPDP_RUL-0174,"Under applicable data protection legislation, in certain circumstances, you have rights concerning your personal data. You have a right to: (1) request a copy of all your personal data that we store and to transmit that copy to another data controller; (2) delete (see section 10 below) or amend your personal data; (3) restrict, or object to, the processing of your personal data; (4) correct any inaccurate or incomplete personal data we hold on you; and (5) lodge a complaint with national data protection authorities regarding our processing of your personal data.","The clause mentions the right to request a copy of personal data and transmit it to another data controller, which aligns with the 'right to access' and 'data portability' under DPDPA. However, it does not explicitly mention the retention period or the obligation to erase data upon completion of the"
S002023,WhatsApp,Data Principal Rights (Access & Export),DPDP_RUL-0174,"Subscription Updates and information Admins share on Channels is public and available to others, subject to any audience, subscription or privacy settings. You should keep in mind that anybody can capture screenshots or make recordings of Channel Content and interactions on Channels and send them to WhatsApp or anyone else, or share, export or upload them off our Services.  Third-Party Service Providers and Meta Companies. We work with third-party service providers and other Meta Companies to help us operate, provide, improve, understand and support Channels. We also work with Meta Companies to help us promote the safety, security, and integrity on Channels and our Services, including use of detection and measurement tools that leverage a combination of classifiers, content and behavioral signals, human review, and user reports—to proactively and reactively detect potentially violating content or use of Channels. When we share information with thirdparty service providers and other Meta Companies in this capacity, we require them to use your information on our behalf in accordance with our instructions and terms.  Accounts Center. If you have added your WhatsApp account to","The clause mentions that content shared on Channels is public and available to others, which aligns with data retention and erasure principles. However, it does not explicitly state that personal data must be erased upon completion of the retention period, nor does it mention legal compliance as a reason for"
S001014,Snapchat,Data Principal Rights (Erasure & Rectification),DPDP_RUL-0211,"Our Services are not directed to children under the age of 13 or those below the applicable minimum age at which you may use the Services in your state, province, or country if older than 13. You must confirm that you are older than that applicable minimum age to create an account and use the Services. If we have actual knowledge that you are not, we will cease providing the Services to you and lock or delete your account and your data. We may require you to verify your age before you are allowed to use our Services.","The clause addresses age verification for users under 13 and includes measures to lock or delete accounts if underage, which aligns with the requirement to provide a clear communication link for Data Principals to exercise their rights. However, it does not explicitly provide a communication link or mechanism for exercising"
S001147,Snapchat,Data Principal Rights (Erasure & Rectification),DPDP_RUL-0174,"Delete your information. If you want to delete your account, learn how here. You can also delete some information within our Services, like content you’ve saved to Memories, content you’ve shared with My AI, Spotlight submissions, and more.","The clause mentions the ability to delete information and account data, which aligns with the requirement to provide a mechanism for erasure of personal data after the retention period. However, it does not explicitly mention the retention period or legal compliance exceptions, which are key components of the rule."
S001223,Snapchat,Data Principal Rights (Erasure & Rectification),DPDP_RUL-0211,"Our Services are not directed to children under the age of 13, and you must confirm that you are 13 years or older in order to create an account and use our Services. If we have actual knowledge that you are under the age of 13 (or the minimum age at which a person may use the Services in your state, province, or country without parental consent, if greater), we will stop providing Services to you and delete your account and data.","The clause addresses the protection of children under 13 by stopping services and deleting data upon knowledge of their age. However, it does not explicitly provide a clear communication link for Data Principals to exercise their rights under the Act, which is a requirement under DPDP_RUL-0211."
S001589,Telegram,Data Principal Rights (Erasure & Rectification),DPDP_RUL-0174,"If you would like to delete your account, you can do this on the deactivation page. Deleting your account removes all messages, media, contacts and every other piece of data you store in the Telegram cloud. This action must be confirmed via your Telegram account and cannot be undone.","The clause describes the deletion of data upon account deactivation, which aligns with the requirement to erase personal data upon completion of the retention period. However, it does not explicitly mention the retention period or legal compliance as required by DPDP_RUL-0174."
S002364,WhatsApp,Data Principal Rights (Erasure & Rectification),DPDP_RUL-0174,"If you would like to further manage, change, limit, or delete your information, you can do that through the following tools:  Services Settings. You can change your Services settings to manage certain information available to other users. You can manage your contacts, groups, and broadcast lists, or use our “block” feature to manage the users with whom you communicate.  Changing Your Mobile Phone Number, Profile Name And Picture, And “About” Information. If you change your mobile phone number, you must update it using our in-app change number feature and transfer your account to your new mobile phone number. You can also change your profile name, profile picture, and ""about"" information at any time.  Deleting Your WhatsApp Account. You can delete your WhatsApp account at any time (including if you want to revoke your consent to our use of your information pursuant to applicable law) using our inapp delete my account feature. When you delete your WhatsApp account, your undelivered messages are deleted from our servers as well as any of your other information we no longer need to operate and provide our Services. Deleting your account will, for example, delete your account info and profile photo, delete you from all WhatsApp groups, and delete your WhatsApp message history.","The clause mentions the ability to delete a WhatsApp account and the deletion of information from servers, which aligns with the requirement to erase personal data upon account deletion. However, it does not explicitly mention the retention period or the legal basis for retaining data, which are also part of"
S002365,WhatsApp,Data Principal Rights (Erasure & Rectification),DPDP_RUL-0174,"Be mindful that if you only delete WhatsApp from your device without using our in-app delete my account feature, your information will be stored with us for a longer period. Please remember that when you delete your account, it does not affect your information related to the groups you created or the information other users have relating to you, such as their copy of the messages you sent them.","The clause mentions that information is stored with the company for a longer period after account deletion, which aligns with the requirement to retain data for a specified period. However, it does not explicitly state that data will be erased upon completion of the retention period, which is a key"
