category,requirement,source,weight,source_clause_ids,checkable_test,applicability,assessability,citation_confidence,notes,human_review_status,representative_source_clause_ids,candidate_id,duplicate_model_output_count,triage_candidate_id,source_acts,missing_source_clause_ids,source_provenance_status,triage_run_timestamp_utc,review_flags,likely_government_facing,government_facing_reasons,policy_checkability_signal_count,policy_checkability_signal_terms,administrative_signal_terms,recommended_action,resolved_act,requirement_canonical_hash,requirement_exact_duplicate_group,requirement_near_duplicate_similarity,requirement_near_duplicate_group
Significant Data Fiduciary Obligations,The Data Protection Board of India must be established by the Central Government.,"DPDP Act 2023, Section 18",3,"[""G000395""]",Verify if the Central Government has established the Data Protection Board of India as defined in the DPDP Act 2023.,Applicable to all entities subject to the DPDP Act 2023.,High,high,This requirement is directly derived from the definition of 'Board' in the DPDP Act 2023.,PENDING,['G000395'],TC-000001,1,TC-000001,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""data"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,79a86fa7186b17b581a8e3f5bf931c080362bbde6fd26dfecbd0ea6a22b6e2b2,,1.0,
Consent & Notice,A Consent Manager must be registered with the Data Protection Board of India and act as a single point of contact for managing consent.,"DPDP Act 2023, Section 2(g)",3,"[""G000399""]",Verify if the entity has a registered Consent Manager acting as a single point of contact for managing consent.,Applicable to entities that collect and process personal data.,High,high,This requirement is directly derived from the definition of 'Consent Manager' in the DPDP Act 2023.,PENDING,['G000399'],TC-000002,1,TC-000002,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""consent"", ""contact"", ""data"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,d0312232ed4722f250f5b002ea877d1cac3104172a9f573a2412891034b2c0f3,,1.0,
Significant Data Fiduciary Obligations,Significant Data Fiduciaries must appoint a Data Protection Officer as required by law.,"DPDP Act 2023, Section 2(l)",3,"[""G000406""]",Check if the organization has appointed a Data Protection Officer as required by law.,Applicable to Significant Data Fiduciaries.,3,high,This obligation is directly tied to the definition of a Data Protection Officer under the DPDP Act 2023.,PENDING,['G000406'],TC-000003,1,TC-000003,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""data"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,b02df00f9c5e491ae9e23b3c8ae23b4339022e4a7dea2bbd5921e8e1e5323471,,1.0,
Data Retention & Erasure,Data Fiduciaries must ensure that personal data is erased or restricted when no longer needed for the specified purpose.,"DPDP Act 2023, Section 2(za)",2,"[""G000431""]",Verify if the organization provides a specified purpose for data processing and ensures data is erased or restricted when no longer needed.,Applicable to Data Fiduciaries who provide a specified purpose for data processing.,2,high,This obligation is tied to the requirement for Data Fiduciaries to provide a specified purpose and manage data retention accordingly.,PENDING,['G000431'],TC-000004,1,TC-000004,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""data"", ""erase"", ""personal data"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,f56563d49f213308a9738fadac817dd4ebaa9c3a33b7c5b46b04b4a14cf61026,,1.0,
Security Safeguards,"Data Fiduciaries must ensure that personal data is protected against unauthorized processing, accidental disclosure, or loss.","DPDP Act 2023, Section 2(u)",3,"[""G000425""]","Check if the organization has implemented measures to protect personal data against unauthorized processing, accidental disclosure, or loss.",Applicable to all Data Fiduciaries.,3,high,This obligation is directly tied to the definition of a personal data breach and the need for security safeguards.,PENDING,['G000425'],TC-000005,1,TC-000005,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""data"", ""personal data"", ""process"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,20bb2cf22adfe6d12d762d5c0a4fad9a32783f59bc1c12c6e30ef018e35e7892,,1.0,
Data Retention & Erasure,Data Fiduciaries must ensure that personal data is retained only for the specified purpose and erased when no longer needed.,"DPDP Act 2023, Section 2(x)",2,"[""G000428""]",Verify if the organization retains personal data only for the specified purpose and ensures erasure when no longer needed.,Applicable to Data Fiduciaries who process personal data.,2,high,This obligation is tied to the definition of processing and the requirement to retain data only for the specified purpose.,PENDING,['G000428'],TC-000006,1,TC-000006,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""data"", ""erase"", ""personal data"", ""purpose"", ""retain""]",[],LEGAL_REVIEW,DPDP_ACT_2023,87bbb01604a59cf4f12b8eb8c49177b93914ea15efdf0ec09f2a5ee5d377b84e,,1.0,
Significant Data Fiduciary Obligations,Significant Data Fiduciaries must be notified by the Central Government under section 10.,"DPDP Act 2023, Section 2(z)",3,"[""G000430""]",Check if the organization is classified as a Significant Data Fiduciary and if it complies with the notification requirements under section 10.,Applicable to Significant Data Fiduciaries.,3,high,This obligation is directly tied to the definition of a Significant Data Fiduciary and the requirement for notification by the Central Government.,PENDING,['G000430'],TC-000007,1,TC-000007,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],1,"[""data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,08368bbf66bad5d15b7260292e42510372f8de936fb39025302ddbce75d06405,,1.0,
Data Retention & Erasure,Data Fiduciaries must ensure that personal data is retained only for the purpose for which it was collected.,"DPDP Act 2023, Section 3(a)",2,"[""G000433""]",Verify if the organization retains personal data only for the purpose for which it was collected.,Applicable to Data Fiduciaries processing personal data within India.,2,high,This obligation is tied to the requirement that data processing within India must be for the purpose for which it was collected.,PENDING,['G000433'],TC-000008,1,TC-000008,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""collect"", ""data"", ""personal data"", ""purpose"", ""retain""]",[],LEGAL_REVIEW,DPDP_ACT_2023,ecdffb9e8af6b2096a562d62a02f84f5c801b9f7c8d10bfb6b0278302fef0d55,,1.0,
Significant Data Fiduciary Obligations,A Data Fiduciary must process personal data only for a lawful purpose as defined by the DPDP Act 2023.,"DPDP Act 2023, Section 3(1)",3,"[""G000443""]",Verify if the Data Fiduciary's processing of personal data is limited to lawful purposes as per the DPDP Act 2023.,Applies to all Data Fiduciaries processing personal data in India.,High,high,This obligation is tied to the definition of a Data Fiduciary under the DPDP Act 2023.,PENDING,['G000443'],TC-000009,1,TC-000009,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""data"", ""personal data"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,5f26c77c3899014f75f3a7200f64c7166bb9641ee40e42bbd6c15523d1d7f3c5,,1.0,
Consent & Notice,Every request for consent from a Data Principal must be accompanied by a notice informing the Data Principal of the purpose of processing.,"DPDP Act 2023, Section 5(1)",3,"[""G000449""]",Check if all consent requests include a notice describing the purpose of data processing.,Applies to all Data Fiduciaries seeking consent for data processing.,High,high,This requirement applies to all data processing activities requiring consent under the DPDP Act 2023.,PENDING,['G000449'],TC-000010,1,TC-000010,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""consent"", ""data"", ""notice"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,fde63f8ed422a1e984b59ad377489389d2387827584a8cfeb03866beba1ca7cf,,1.0,
