taxonomy_id,act,category,requirement,checkable_test,required_concepts,exclude_concepts,applicability,source,weight,assessability,citation_confidence,source_candidate_ids,source_clause_ids,consolidation_action,consolidation_reason,canonical_candidate_id,candidate_count,review_status,legal_approval,taxonomy_stage
DPDP_ACT-0026,DPDP_ACT_2023,Breach Notification,"In the event of a personal data breach, the Data Fiduciary shall notify the Board and each affected Data Principal of the breach.",Verify that the document specifies procedures for notifying the Board and affected Data Principals in case of a data breach.,data breach report; notification to user; incident notice; compromised personal data; intimate cert-in; security incident,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; scheduled maintenance downtime; bug fixes; service discontinuation,All Data Fiduciaries processing personal data.,"DPDP Act 2023, Section 5(6)",3,High,high,['TC-000031'],['G000503'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000031,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0034,DPDP_ACT_2023,Children/Vulnerable Groups,A Data Fiduciary must obtain verifiable consent from the parent or lawful guardian of a child or person with disability before processing their personal data.,Verify if the document requires verifiable consent from a parent or guardian for children or persons with disabilities.,parental consent; minor protection; verifiable guardian consent; underage data restriction; tracking of children; behavioral monitoring restriction,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; general family safety tips; mature content warnings,Applies to Data Fiduciaries processing data of children or persons with disabilities.,"DPDP Act 2023, Section 8(9)(1)",3,High,high,['TC-000039'],['G000517'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000039,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0010,DPDP_ACT_2023,Consent & Notice,A Data Fiduciary must inform a Data Principal of the right to withdraw consent and the consequences of withdrawal.,Verify if the Data Fiduciary provides information on how to withdraw consent and its effects.,notice of collection; specified purpose; consent withdrawal; opt-out mechanism; unconditional consent; itemized notice; privacy policy link,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; service availability disclaimer; warranty limitation,Applies to all Data Fiduciaries processing personal data with prior consent.,"DPDP Act 2023, Section 4(1)(b)",3,High,high,['TC-000013'],['G000462'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000013,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0048,DPDP_ACT_2023,Cross-Border Transfer,The applicability of Indian laws providing higher protection for data transfers outside India is not restricted by this section.,Check if the document acknowledges that higher protections for data transfers outside India may be provided by existing Indian laws.,cross-border transfer; overseas transfer of data; transfer outside india; international data protection; data localization; adequacy,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; account migration; in-app payments,Applies to all Data Fiduciaries.,"DPDP Act 2023, Section 16(2)",2,3,high,['TC-000056'],['G000575'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000056,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0040,DPDP_ACT_2023,Data Principal Rights,Data principals have the right to request access to their personal data from the data fiduciary.,Check if the document specifies the right of data principals to request access to their personal data.,right to access; right to correction; data portability; download personal data; rectification; erasure request,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; user rights to upload content; intellectual property ownership,Applies to data principals who have given consent to data fiduciaries.,"DPDP Act 2023, Section 11(1)",3,High,high,['TC-000046'],['G000544'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000046,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0027,DPDP_ACT_2023,Data Retention & Erasure,A Data Fiduciary shall erase personal data upon the Data Principal withdrawing her consent.,Verify that the document specifies the obligation to erase personal data upon withdrawal of consent.,deletion of personal data; retention period; purpose fulfillment erasure; account deletion data wipe; data retention policy; storage limitation,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; temporary account lock; caching for performance,All Data Fiduciaries processing personal data.,"DPDP Act 2023, Section 5(5)(a)",3,High,high,['TC-000032'],['G000505'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000032,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0057,DPDP_ACT_2023,Grievance Redressal,The Board has the authority to investigate complaints made by Data Principals regarding breaches of obligations by Data Fiduciaries or Consent Managers and impose penalties as provided by the Act.,Check if the governance document outlines procedures for investigating complaints and imposing penalties for breaches by Data Fiduciaries or Consent Managers.,grievance officer contact; redressal timeline; dpo email; nodal contact officer; physical address in india; grievance mechanism,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; customer support for billing; refund inquiries,Applicable to any organization that is a Data Fiduciary or Consent Manager.,"DPDP Act 2023, Section 12(1)",3,High,high,['TC-000066'],"['G000636', 'G000637']",KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000066,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0059,DPDP_ACT_2023,Intermediary/Platform Liability,"The Central Government may, in the interests of the general public, direct any agency of the Central Government or any intermediary to block access to information generated, transmitted, received, stored, or hosted in any computer resource, after giving an opportunity of being heard to the Data Fiduciary.",Check if the governance document includes a policy that allows the Central Government to direct intermediaries to block access to information in the public interest.,takedown notice; due diligence; unlawful content removal; 24-36 hour blocking compliance; user agreement notification; rule 3 compliance; publish rules and regulations,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; dmca copyright notice; trademark dispute form,Applicable to any organization that is an intermediary.,"DPDP Act 2023, Section 35(b)",2,High,high,['TC-000069'],['G000705'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000069,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0025,DPDP_ACT_2023,Security Safeguards,A Data Fiduciary shall protect personal data in its possession or under its control by taking reasonable security safeguards to prevent personal data breaches.,Verify that the document specifies the use of reasonable security safeguards to prevent data breaches.,technical measures; encryption; unauthorized access prevention; reasonable security practices; access control; data protection safeguards; audit,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; platform uptime security; circumvention of software features; physical office security,All Data Fiduciaries processing personal data.,"DPDP Act 2023, Section 5(2)",3,High,high,['TC-000030'],['G000502'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000030,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0016,DPDP_ACT_2023,Consent & Notice,"The Data Principal shall have the right to withdraw consent at any time, with the ease of doing so being comparable to the ease with which such consent was given.",Check if the withdrawal of consent is as easy as the initial consent was obtained.,notice of collection; specified purpose; consent withdrawal; opt-out mechanism; unconditional consent; itemized notice; privacy policy link,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; service availability disclaimer; warranty limitation,All data fiduciaries processing personal data based on consent.,"DPDP Act 2023, Section 8(4)",3,High,high,['TC-000019'],['G000470'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000019,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0019,DPDP_ACT_2023,Consent & Notice,"A Data Fiduciary must cease processing personal data of a Data Principal who has withdrawn consent, unless processing is required or authorized by law.","Verify if the document states that processing must cease upon withdrawal of consent, unless required by law.",notice of collection; specified purpose; consent withdrawal; opt-out mechanism; unconditional consent; itemized notice; privacy policy link,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; service availability disclaimer; warranty limitation,Applies to all Data Fiduciaries handling personal data of Data Principals.,"DPDP Act 2023, Section 6(1)",3,High,high,['TC-000023'],"['G000473', 'G000474', 'G000476']",KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000023,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0020,DPDP_ACT_2023,Consent & Notice,"A Data Principal may give, manage, review, or withdraw consent through a Consent Manager.",Verify if the document allows a Data Principal to manage or withdraw consent through a Consent Manager.,notice of collection; specified purpose; consent withdrawal; opt-out mechanism; unconditional consent; itemized notice; privacy policy link,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; service availability disclaimer; warranty limitation,Applies to all Data Fiduciaries handling personal data of Data Principals.,"DPDP Act 2023, Section 6(7)",3,High,high,['TC-000024'],['G000477'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000024,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0121,DPDP_ACT_2023,Significant Data Fiduciary Obligations,"A data fiduciary must comply with terms of a voluntary undertaking accepted by the Board, as non-compliance is deemed a breach of the Act.",Verify if the data fiduciary has adhered to the terms of any voluntary undertaking accepted by the Board.,personal data processing obligation; compliance with data protection law,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation,Applicable to any data fiduciary that has accepted a voluntary undertaking under the Act.,"DPDP Act 2023, Section 32(5)",3,2,high,['TC-000337'],['G000686'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000337,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0123,DPDP_ACT_2023,Significant Data Fiduciary Obligations,"The Board may impose penalties under the Act if a data fiduciary breaches its provisions or the rules made thereunder, and the breach is deemed significant.",Verify if the Board has imposed penalties for a significant breach of the Act or its rules.,personal data processing obligation; compliance with data protection law,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation,Applicable to data fiduciaries that have breached the Act or its rules.,"DPDP Act 2023, Section 33(1)",3,2,high,['TC-000339'],['G000687'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000339,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0153,DPDP_ACT_2023,Significant Data Fiduciary Obligations,"Significant data fiduciaries must ensure that monetary penalties imposed for breaches are proportionate and effective, taking into account the need to deter and secure observance of the Act.",Check if the penalty imposed for a breach is proportionate and effective.,personal data processing obligation; compliance with data protection law,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation,Applicable to significant data fiduciaries.,"DPDP Act 2023, Section 38(1)",3,2,high,['TC-000546'],['G000698'],KEEP,Consolidated 1 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000546,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_ACT-0029,DPDP_ACT_2023,Data Retention & Erasure,A Data Fiduciary shall erase personal data upon receipt of a request for erasure unless retention is necessary for a specified purpose or for compliance with law.,Check if the document specifies that data fiduciaries must erase personal data upon request unless retention is required for a specified purpose or legal compliance.,deletion of personal data; retention period; purpose fulfillment erasure; account deletion data wipe; data retention policy; storage limitation,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; temporary account lock; caching for performance,Applies to all data fiduciaries handling personal data subject to erasure requests.,"DPDP Act 2023, Section 10(7)",3,High,high,"['TC-000034', 'TC-000048']","['G000509', 'G000557']",MERGED,Consolidated 2 candidates within DPDP_ACT_2023 based on semantic equivalence.,TC-000048,2,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0178,DPDP_RULES_2025,Breach Notification,"Data Fiduciary must notify affected Data Principals of personal data breaches in a concise, clear, and plain manner without delay.",Check if the document specifies the obligation to notify affected Data Principals of personal data breaches in a clear and timely manner.,data breach report; notification to user; incident notice; compromised personal data; intimate cert-in; security incident,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; scheduled maintenance downtime; bug fixes; service discontinuation,Applicable to all Data Fiduciaries subject to DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,['TC-000093'],['G001054'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000093,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0227,DPDP_RULES_2025,Children/Vulnerable Groups,"A Data Fiduciary must ensure that any information, service, or advertisement likely to cause detrimental effects on a child's well-being is not accessible to the child.",Check if the document restricts access to harmful content for children.,parental consent; minor protection; verifiable guardian consent; underage data restriction; tracking of children; behavioral monitoring restriction,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; general family safety tips; mature content warnings,Applies to data fiduciaries handling children's data.,"DPDP Rules 2025, Rule 12(3)",3,High,high,['TC-000149'],['G001274'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000149,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0277,DPDP_RULES_2025,Confidentiality & Misuse of Data,Data fiduciaries must ensure the absence of conflict of interest in the performance of their functions.,Verify that data fiduciaries have no financial or other interests that could prejudice their functions.,personal data processing obligation; compliance with data protection law,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation,All data fiduciaries.,"DPDP Rules 2025, Section 8(1)",3,3,high,['TC-000559'],['G001311'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000559,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0208,DPDP_RULES_2025,Consent & Notice,"The Consent Manager must enable individuals to give, manage, review, and withdraw their consent for the processing of their personal data.","Verify if the platform provides functionality for users to give, manage, review, and withdraw consent.",notice of collection; specified purpose; consent withdrawal; opt-out mechanism; unconditional consent; itemized notice; privacy policy link,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; service availability disclaimer; warranty limitation,All users of the platform,"DPDP Rules 2025, Rule 8(1)",3,High,high,['TC-000129'],['G001174'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000129,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0202,DPDP_RULES_2025,Cross-Border Transfer,Data Fiduciaries must meet requirements specified by the Central Government for transferring personal data outside the territory of India.,Check if the document specifies that Data Fiduciaries must meet Central Government requirements for cross-border data transfers.,cross-border transfer; overseas transfer of data; transfer outside india; international data protection; data localization; adequacy,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; account migration; in-app payments,Applicable to all Data Fiduciaries under the DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,"['TC-000121', 'TC-000122']","['G001123', 'G001124']",MERGED,Consolidated 2 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000121,2,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0223,DPDP_RULES_2025,Data Principal Rights,"Provide a clear communication link for Data Principals to exercise their rights under the Act, including access to the website or app of the Data Fiduciary.","Verify if the document provides a clear communication link for Data Principals to exercise their rights under the Act, including access to the website or app of the Data Fiduciary.",right to access; right to correction; data portability; download personal data; rectification; erasure request,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; user rights to upload content; intellectual property ownership,Applies to all Data Fiduciaries processing personal data.,"DPDP Rules 2025, Rule 1217",3,High,high,['TC-000145'],['G001217'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000145,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0184,DPDP_RULES_2025,Data Retention & Erasure,A Data Fiduciary must erase personal data upon completion of the specified retention period unless retention is necessary for legal compliance.,"Verify if the Data Fiduciary provides a mechanism for erasure of personal data after the retention period, unless retention is required by law.",deletion of personal data; retention period; purpose fulfillment erasure; account deletion data wipe; data retention policy; storage limitation,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; temporary account lock; caching for performance,Applies to Data Fiduciaries processing personal data for specified purposes.,"DPDP Rules 2025, Rule 8(1)",3,High,high,['TC-000100'],['G001071'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000100,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
