clause_id,app_name,source_document,clause_text,best_match_taxonomy_id,dpdp_category,matched_act,verdict,verdict_score,justification,label_status,label_needs_review,cache_key,run_id,model
S000885,Meta,MetaPrivacyPolicy,"The type of third party and categories of information shared depend on the circumstances of what you ask us to share. For example: We share your email address (or other contact information) or other information you might choose when you direct us to share it with an advertiser so they can contact you with additional information about a promoted product, and",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses the sharing of information with third parties under specific circumstances but does not address any of the statutory requirements related to intermediary/platform liability, consent withdrawal, or data disclosure obligations under the DPDP Act 2023 or IT Act 2000.",NEW_SUCCESS,False,348f33e8620347e67652db2036ff77c26b3a42dc213c3c6c4e577e7eaa5c54d0,run-c6bf936e43df-5d0fde37,qwen3:8b
S001869,WhatsApp,WhatsApp Business Data Security Terms,"Services that includes definitions of roles and responsibilities for vulnerability monitoring, vulnerability risk assessment, and patch deployment.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses roles and responsibilities for vulnerability monitoring, risk assessment, and patch deployment, but does not specify logging, monitoring, review mechanisms, access control, or contractual provisions for security safeguards as required by the candidate rules.",NEW_SUCCESS,False,0e7797aa1d49897ea8a084cc9f21197fbc3e9633b824082ca2e03efd63eb996c,run-c6bf936e43df-5d0fde37,qwen3:8b
S001794,WhatsApp,WhatsApp Business App Privacy Policy,"Business Functions (some of which may be offered by third parties and/or Meta); and improving, fixing, and customizing our WhatsApp Business App. We also use information we have to understand how you use our WhatsApp Business App; evaluate and improve our WhatsApp Business App; research, develop, and test new services and features; and conduct troubleshooting activities. We also use your information to respond to you when you contact us.  Safety, Security and Integrity.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses the use of personal data for business functions, app improvement, and safety, but does not specifically address any of the statutory requirements related to security safeguards, grievance redressal, or contractual obligations under the DPDP Act 2023 or DPDP Rules 2025.",NEW_SUCCESS,False,d5665628bfc50827a4711a958f064f126b49956208828e4ad3e43c612e23426c,run-c6bf936e43df-5d0fde37,qwen3:8b
S000838,Meta,MetaPrivacyPolicy,"Why and how we process your information: WhatsApp account in the same Accounts Centre and share your information with WhatsApp. detail on each information category). The actual information that we use depends on your factual circumstances, but could include any of the following: Note: The list below is about information from Meta. For information that WhatsApp shares with Meta, see the .",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses the processing of user information and the sharing of data between WhatsApp and Meta, but it does not specifically address any of the statutory requirements related to consent withdrawal, intermediary liability, significant data fiduciary obligations, security safeguards, or non-disclosure of personal information.",NEW_SUCCESS,False,071d022a026a7c0ca9e524ba772e057908ff65079c08236a941aa63e229b452b,run-c6bf936e43df-5d0fde37,qwen3:8b
S002139,WhatsApp,WhatsApp Messaging Guidelines,"WhatsApp violate local law, they may request that we review the account information available to us. Personal messages and calls are always protected by end-to-end encryption. We may also receive court orders to restrict WhatsApp accounts. We always assess the legitimacy and completeness of a government request before taking any action.",NONE,Not Applicable,,Not Addressed,0.0,"The clause does not address any of the candidate rules. It mentions compliance with local law, end-to-end encryption, and handling of government requests, but does not specify mechanisms for security safeguards, log retention, or intermediary liability as required by the candidate rules.",NEW_SUCCESS,False,f56c633e02692eb9ef14069584791cf8bac72baff851ba4fd20a9458c8061738,run-c6bf936e43df-5d0fde37,qwen3:8b
S002352,WhatsApp,WhatsAppPrivacyPolicy,your information on our behalf in accordance with our instructions and terms.  Third-Party Services. When you or others use third-party services or other Meta Company Products that are integrated with our,NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses third-party services and integration with Meta Company Products but does not address any of the specific statutory requirements related to consent withdrawal, government directions, voluntary undertakings, or restrictions on disclosure of personal information. It lacks actionable mechanisms, timelines, or direct compliance with",NEW_SUCCESS,False,1412cc81897eae0d2b7356674ad100e79a09236b21a8649f694466bc37152f07,run-c6bf936e43df-5d0fde37,qwen3:8b
S002129,WhatsApp,WhatsApp Messaging Guidelines,"WhatsApp is a simple, secure and reliable way to send messages and make calls. No one, not even WhatsApp, can see your personal messages which are end-to-end encrypted by default. These Messaging Guidelines (these “Guidelines”) apply to 1:1 chats, calls, group chats, and communities. Status updates are also subject to these Guidelines.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses end-to-end encryption but does not address any of the specific security safeguard requirements under the DPDP Act 2023 or DPDP Rules 2025, such as log retention, access control, or monitoring mechanisms. It also does not mention contractual provisions for security safeguards or",NEW_SUCCESS,False,ee6a2032b3e7b72603c805910285d88e014392fa2851dcadf7f881993f3c985f,run-c6bf936e43df-5d0fde37,qwen3:8b
S001153,Snapchat,Snap_Privacy Policy,"Object to processing. Depending on where you live and the particular data we are processing, you may have the right to object to our processing of that information. This gets a bit technical, so we’ve explained it in more detail here.",NONE,Not Applicable,,Not Addressed,0.0,"The clause mentions the right to object to processing but does not specify how to withdraw consent, the consequences of withdrawal, or provide actionable mechanisms for data principals. It is too vague and does not meet the checkable tests for any of the candidate rules.",NEW_SUCCESS,False,0edc60dcfd1db464f34af9bf515b5e773c1b2bf78f5fa5b00f45037e255349fa,run-c6bf936e43df-5d0fde37,qwen3:8b
S000306,Google,Google Privacy Policy,"Depending on your settings, we may also show you personalized ads based on your interests and activity across Google services. For example, if you search for “mountain bikes,” you may see ads for sports equipment on YouTube. You can control what information we use to show you ads by visiting your ad settings in My Ad Center.",NONE,Not Applicable,,Not Addressed,0.0,"The clause discusses personalized ads and user settings for ad preferences, which does not directly address any of the statutory requirements under the DPDP Act 2023 or IT Act 2000. It does not pertain to security safeguards, consent for children, intermediary liability, breach notification, or",NEW_SUCCESS,False,ce49e5493e2fb450bba946492a53984a5e64427ae3a922a2026167f38f398685,run-c6bf936e43df-5d0fde37,qwen3:8b
S001812,WhatsApp,WhatsApp Business Data Processing Terms,"“Processor” means a natural or legal person, public authority, agency or other body which processes Personal Information on behalf of the Controller.",NONE,Not Applicable,,Not Addressed,0.0,"The clause defines 'Processor' in the context of data processing but does not address any of the specific statutory requirements related to security safeguards, voluntary undertakings, penalties, or consent management under the DPDP Act 2023 or DPDP Rules 2025.",NEW_SUCCESS,False,e022407b717242032f526b2380befd4f5115b3556807ff915e2ddd9a647013c3,run-c6bf936e43df-5d0fde37,qwen3:8b
