clause_id,app_name,source_document,source_file,page_start,page_end,section_heading,clause_text,relevance_score,relevance_level
S000043,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"(i) With respect to GCP Services and their corresponding TSS, unless otherwise noted by Google, material updates to this Agreement will become effective 30 days after they are posted. Notwithstanding the preceding sentence, to the extent any updates apply to new functionality or are required to comply with applicable law, they will be effective immediately. If Customer does not agree to any update to the Agreement regarding GCP or its TSS, Customer may stop using the GCP Services or TSS. Customer may also terminate this Agreement for convenience under Section 8.5 (Termination for Convenience). Customer's continued use of the GCP Services or TSS after a material update will constitute Customer's consent to such update.",2,medium
S000072,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"3.2 Privacy. Customer is responsible for any consents and notices required to permit (a) Customer's use and receipt of the Services and (b) Google's accessing, storing, and processing of data provided by Customer (including Customer Data, if applicable) under this Agreement.",2,medium
S000080,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,(b) Administration of GWS Services and Cloud Identity Services. Customer may specify through the Admin Console one or more Administrators who will have the right to access Admin Accounts. Customer is responsible for (i) maintaining the confidentiality and security of the End User Accounts and associated passwords and (ii) any use of the End User Accounts. Customer agrees that Google’s responsibilities do not extend to the internal management or administration of the GWS Services or Cloud Identity Services for Customer or any End Users.,1,medium
S000112,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"9. Publicity. Neither party may use the other party’s Brand Features or issue, publish, or present a press release, blog post, speech, social media post, or investor relations call or announcement discussing Customer’s use of the Services or this Agreement without the written consent of the other party, except as expressly permitted in this Agreement. Subject to the preceding sentence, Customer may state publicly that it is a Google Cloud customer and display Brand Features in accordance with the Branding Guidelines. Google may use Customer's name and Brand Features in online or offline promotional materials of the Services. Any use of a party’s Brand Features will inure to the benefit of the party holding Intellectual Property Rights to those Brand Features.",1,medium
S000130,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"(b) Any indemnified party must tender sole control of the indemnified portion of the Third-Party Legal Proceeding to the indemnifying party, subject to the following: (i) the indemnified party may appoint its own non-controlling counsel, at its own expense; and (ii) any settlement requiring the indemnified party to admit liability, pay money, or take (or refrain from taking) any action, will require the indemnified party's prior written consent, not to be unreasonably withheld, conditioned, or delayed.",2,medium
S000137,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,14.2 Emails. The parties may use emails to satisfy written approval and consent requirements under this Agreement.,1,medium
S000138,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"14.3 Assignment. Neither party may assign any part of this Agreement without the written consent of the other, except to an Affiliate where (a) the assignee has agreed in writing to be bound by the terms of this Agreement, and (b) the assigning party has notified the other party of the assignment. Any other attempt to assign is void. If Customer assigns this Agreement to an Affiliate in another jurisdiction such that there is a change in the Google contracting entity as defined at https://cloud.google.com/terms/google-entity this Agreement is automatically assigned to the new Google contracting entity.",1,medium
S000149,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"(b) For U.S. Federal Government Entities. If Customer is a U.S. federal government entity, then the following applies: ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE SERVICES WILL BE GOVERNED BY THE LAWS OF THE UNITED STATES OF AMERICA, EXCLUDING ITS CONFLICT OF LAWS RULES. SOLELY TO THE EXTENT PERMITTED BY FEDERAL LAW, (I) THE LAWS OF THE STATE OF CALIFORNIA (EXCLUDING CALIFORNIA'S CONFLICT OF LAWS RULES) WILL APPLY IN THE ABSENCE OF APPLICABLE FEDERAL LAW; AND (II) FOR ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE SERVICES, THE PARTIES CONSENT TO PERSONAL JURISDICTION IN, AND THE EXCLUSIVE VENUE OF, THE COURTS IN SANTA CLARA COUNTY, CALIFORNIA.",1,medium
S000150,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"(c) For All Other Entities. If Customer is any entity not identified in Section 14.12(a) (U.S. Governing Law for U.S. City, County, and State Government Entities) or (b) (U.S. Governing Law for Federal Government Entities), then the following applies: ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE SERVICES WILL BE GOVERNED BY CALIFORNIA LAW, EXCLUDING THAT STATE'S CONFLICT OF LAWS RULES, AND WILL BE LITIGATED EXCLUSIVELY IN THE FEDERAL OR STATE COURTS OF SANTA CLARA COUNTY, CALIFORNIA, USA; THE PARTIES CONSENT TO PERSONAL JURISDICTION IN THOSE COURTS.",1,medium
S000194,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"""Legal Process"" means an information disclosure request made under law, governmental regulation, court order, subpoena, warrant, or other valid legal authority, legal procedure, or similar process.",1,medium
