taxonomy_id,act,category,requirement,checkable_test,applicability,source,weight,assessability,citation_confidence,source_candidate_ids,source_clause_ids,source_legal_anchors,source_provenance_status,consolidation_action,consolidation_reason,canonical_candidate_id,review_status,candidate_count,legal_approval,taxonomy_stage
DPDP_ACT-0005,DPDP_ACT_2023,Security Safeguards,"Data Fiduciaries must ensure that personal data is protected against unauthorized processing, accidental disclosure, or loss.","Check if the organization has implemented measures to protect personal data against unauthorized processing, accidental disclosure, or loss.",Applicable to all Data Fiduciaries.,"DPDP Act 2023, Section 2(u)",3,3,high,"[""TC-000005""]","[""G000425""]","[""section 2 u""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000005,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0028,DPDP_ACT_2023,Data Retention & Erasure,"A Data Fiduciary may process personal data only for the specified purpose for which the Data Principal has voluntarily provided her data, unless she has indicated non-consent.",Verify if the document states that data may be processed only for the specified purpose unless the Data Principal has indicated non-consent.,Applies to all Data Fiduciaries handling personal data of Data Principals.,"DPDP Act 2023, Section 7(a)",3,High,high,"[""TC-000028""]","[""G000481""]","[""section 7 a""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000028,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0031,DPDP_ACT_2023,Breach Notification,"In the event of a personal data breach, the Data Fiduciary shall notify the Board and each affected Data Principal of the breach.",Verify that the document specifies procedures for notifying the Board and affected Data Principals in case of a data breach.,All Data Fiduciaries processing personal data.,"DPDP Act 2023, Section 5(6)",3,High,high,"[""TC-000031""]","[""G000503""]","[""section 5 6""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000031,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0039,DPDP_ACT_2023,Children/Vulnerable Groups,A Data Fiduciary must obtain verifiable consent from the parent or lawful guardian of a child or person with disability before processing their personal data.,Verify if the document requires verifiable consent from a parent or guardian for children or persons with disabilities.,Applies to Data Fiduciaries processing data of children or persons with disabilities.,"DPDP Act 2023, Section 8(9)(1)",3,High,high,"[""TC-000039""]","[""G000517""]","[""section 8 9 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000039,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0046,DPDP_ACT_2023,Data Principal Rights,Data principals have the right to request access to their personal data from the data fiduciary.,Check if the document specifies the right of data principals to request access to their personal data.,Applies to data principals who have given consent to data fiduciaries.,"DPDP Act 2023, Section 11(1)",3,High,high,"[""TC-000046""]","[""G000544""]","[""section 11 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000046,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0049,DPDP_ACT_2023,Grievance Redressal,A Data Principal shall have the right to grievance redressal mechanisms provided by a Data Fiduciary or Consent Manager.,Check if the document provides grievance redressal mechanisms for data principals regarding data fiduciary or consent manager actions.,Applies to all data principals who have interacted with data fiduciaries or consent managers.,"DPDP Act 2023, Section 13(1)",3,High,high,"[""TC-000049""]","[""G000558""]","[""section 13 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000049,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0055,DPDP_ACT_2023,Cross-Border Transfer,The Central Government may restrict the transfer of personal data by a Data Fiduciary to countries outside India.,Check if the document provides for the possibility of government-imposed restrictions on cross-border data transfers.,Applies to all Data Fiduciaries.,"DPDP Act 2023, Section 16(1)",3,3,high,"[""TC-000055""]","[""G000574""]","[""section 16 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000055,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0057,DPDP_ACT_2023,Confidentiality & Misuse of Data,"The Central Government may notify certain Data Fiduciaries, including startups, that are exempt from specific data protection provisions.","Check if the document allows for the exemption of certain Data Fiduciaries, including startups, from specific data protection provisions.",Applies to all Data Fiduciaries.,"DPDP Act 2023, Section 18(3)",2,3,high,"[""TC-000057""]","[""G000588""]","[""section 18 3""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000057,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0068,DPDP_ACT_2023,Intermediary/Platform Liability,The Central Government may require the Board and any Data Fiduciary or intermediary to furnish information as it may call for.,"Check if the governance document includes a policy that allows the Central Government to request information from the Board, Data Fiduciaries, or intermediaries.",Applicable to any organization that is a Data Fiduciary or intermediary.,"DPDP Act 2023, Section 36",2,High,high,"[""TC-000068""]","[""G000702""]","[""section 36""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000068,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0312,DPDP_ACT_2023,Significant Data Fiduciary Obligations,"The Data Protection Board of India must investigate and impose penalties for personal data breaches, including those involving a Consent Manager, as provided by the DPDP Act 2023.",Check if the Data Protection Board has authority to investigate and impose penalties for personal data breaches involving a Consent Manager.,Applicable to all data fiduciaries subject to the DPDP Act 2023.,"DPDP Act 2023, Section 26(b)",3,High,high,"[""TC-000318"", ""TC-000319""]","[""G000632"", ""G000639""]","[""section 26 b""]",RESOLVED,MERGED,Candidates were consolidated because the automatic merge rules found substantive duplication within the same Act/category.,TC-000319,PENDING_HUMAN_REVIEW,2,FALSE,PROVISIONAL_FINAL
